    50    56    35    54    59    68
    56    47    51    58    58    52
    38    42    33    49    36    41
    49    68    68    55    62    56
    41    40    63    62    47    40
    38    42    52    49    43    46
    32    32    38    64    69    39
    55    36    40    41    63    54
    49    51    63    53    49    49
    53    41    37    55    44    52
    40    42    39    29    57    50
    48    61    66    54    38    54
    59    64    49    53    65    64
    56    33    49    56    53    58
    76    61    60    68    58    52
    62    76    52    70    56    55
    49    37    59    44    41    47
    49    53    53    27    37    43
    27    35    53    51    47    46
    80    68    68    53    52    53
    52    51    52    47    52    49
    56    70    45    62    45    51
    40    52    49    66    60    45
    59    51    43    50    60    55
    47    42    41    46    50    42
    53    46    53    48    41    49
    55    45    52    52    58    44
    59    43    40    52    51    37
    51    46    42    41    32    40
    46    54    56    55    46    44
    71    59    67    49    45    39
    40    47    54    54    33    68
    42    38    37    44    46    41
    42    53    50    49    36    38
    39    37    41    38    53    58
    51    42    55    51    53    63
    34    45    27    33    39    42
    55    51    42    41    45    53
    34    49    48    54    50    52
    41    53    42    54    50    59
    35    42    42    34    61    43
    60    66    66    55    54    59
    49    49    45    41    51    42
    58    63    59    41    49    56
    50    61    62    49    47    59
    44    46    56    47    51    39
    53    63    45    46    54    66
    49    47    43    54    46    61
    70    52    58    58    46    60
    51    49    59    55    50    52
    40    43    43    45    42    54
    56    49    54    43    45    53
    44    55    46    52    55    60
    71    69    68    63    66    46
    46    56    62    62    77    52
    47    37    53    51    32    36
    48    54    53    47    47    51
    34    58    51    42    58    34
    23    17    28    31    37    33
    42    43    44    51    59    36
    25    52    44    39    30    59
    39    56    43    41    53    56
    41    48    48    42    57    59
    47    40    50    60    38    42
    57    50    48    50    46    39
    31    24    43    43    35    49
    47    63    61    47    57    54
    47    41    39    53    43    48
    67    50    77    51    33    38
    33    34    31    59    33    46
    53    54    42    49    44    46
    42    47    52    64    59    35
    34    43    43    43    65    61
    45    40    55    44    52    38
    49    42    59    49    48    47
    36    38    40    42    58    37
    66    46    58    51    51    45
    39    33    48    55    62    65
    57    40    40    65    57    58
    40    42    46    49    59    59
    53    61    76    58    37    51
    46    43    34    61    37    44
    48    47    43    40    29    53
    52    45    44    55    40    49
    43    45    30    42    48    52
    70    64    62    44    58    56
    55    63    42    58    62    50
    59    61    57    48    44    52
    64    52    60    69    43    52
    38    52    38    49    51    64
    70    48    60    56    40    60
    47    44    43    49    59    56
    56    46    48    50    49    47
    42    41    52    56    50    53
    58    63    64    58    54    45
    67    45    52    69    54    55
    44    30    44    39    58    46
    68    60    42    44    58    61
    40    44    49    30    36    46
    32    55    54    43    36    58
    32    28    28    46    42    43
    61    61    51    49    53    38
    55    52    42    47    39    61
    29    51    64    66    56    59
    26    44    42    33    51    50
    59    49    38    38    49    41
    23    36    41    34    36    47
    48    49    60    55    54    44
    47    56    54    34    46    57
    60    70    59    64    56    58
    66    54    52    51    48    52
    77    59    65    57    78    79
    36    59    53    49    46    41
    90    63    60    60    55    53
    36    31    37    42    47    41
    23    33    58    51    29    55
    47    50    44    56    57    69
    44    45    39    55    37    38
    50    54    53    63    50    42
    66    70    61    63    53    53
    81    52    54    51    65    58
    37    48    29    30    45    42
    59    70    61    64    45    41
    89    60    64    69    55    61
    72    64    41    76    64    42
    29    26    48    41    39    46
    49    41    33    31    58    50
    13    47    27    62    36    32
    66    65    59    60    51    64
    37    55    52    52    43    45
    54    53    44    48    42    46
    48    33    47    46    53    48
    37    39    38    39    53    48
    31    56    33    49    39    50
    32    48    51    57    46    28
    51    62    39    53    43    39
    86    60    50    55    58    59
    33    50    51    41    41    36
    61    41    55    52    57    58
    31    45    39    35    50    45
    38    40    47    45    41    34
    29    42    44    51    42    82
    73    52    50    51    49    42
    46    39    47    42    51    54
    50    42    28    43    48    59
    51    62    50    63    53    50
    49    28    46    56    49    52
    54    57    48    54    50    64
    46    42    47    55    59    43
    37    50    51    42    37    42
